experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType	uttClass
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	0	flowers with orange stems	flowers_orange_stems	0	So anything that has an orange stem is a morseth	9.305	chatMessage	I	Q
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	0	flowers with orange stems	flowers_orange_stems	0	no matter what the rest of the flower looks like, if it has an orange stem, that's the one we want to click	16.541	chatMessage	I	C
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	student	0	flowers with orange stems	flowers_orange_stems	0	Ok. Understood 	18.64	chatMessage	F	A
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	10	fish with orange bodies and purple stripes	fish_orange_bodies_purple_stripes	1	It's an oller if it has an orange body AND purple stripes. I only saw a few	19.914	chatMessage	I	C
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	10	fish with orange bodies and purple stripes	fish_orange_bodies_purple_stripes	1	good work on the last round, by the way	8.744	chatMessage	M	
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	40	trees with (purple trunks or white leaves) and orange berries	trees_purple_trunks_or_white_leaves_orange_berries	2	The lulaz is the tree with orange berries, the color of the trunk and leaves are irrelevant. However, when the tree doesn't have leaves, orange and red berries look kind of similar so take care in that regard	41.843999999999994	chatMessage	I	C
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	student	40	trees with (purple trunks or white leaves) and orange berries	trees_purple_trunks_or_white_leaves_orange_berries	2	So I'm picking only trees with orange berries 	18.875	chatMessage	F	I
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	40	trees with (purple trunks or white leaves) and orange berries	trees_purple_trunks_or_white_leaves_orange_berries	2	correct	1.587	chatMessage	F	A
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	student	40	trees with (purple trunks or white leaves) and orange berries	trees_purple_trunks_or_white_leaves_orange_berries	2	When there are no leaves... I shouldn't pick? 	12.352	chatMessage	F	?
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	40	trees with (purple trunks or white leaves) and orange berries	trees_purple_trunks_or_white_leaves_orange_berries	2	no, it still has berries even when there are no leaves, but without the background color of the  leaves it's a bit harder to tell if the berries are orange or red, so just look extra closely if we happen to get any like that	49.652	chatMessage	F	O
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	20	bugs with orange antennae or wings	bugs_orange_antennae_or_wings	4	i don't even know for this one	474.58	chatMessage	I	O
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	student	20	bugs with orange antennae or wings	bugs_orange_antennae_or_wings	4	I messed up last time. My daughter distracted me	488.895	chatMessage	I	O
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	20	bugs with orange antennae or wings	bugs_orange_antennae_or_wings	4	the difference between a kwep and a non kwep is not something I could easily see	16.723	chatMessage	I	O
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	20	bugs with orange antennae or wings	bugs_orange_antennae_or_wings	4	and no worries	2.842	chatMessage	F	O
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	student	20	bugs with orange antennae or wings	bugs_orange_antennae_or_wings	4	Lol	2.457	chatMessage	F	O
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	student	20	bugs with orange antennae or wings	bugs_orange_antennae_or_wings	4	So... Should we wing it? 	8.527000000000001	chatMessage	F	?
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	explorer	20	bugs with orange antennae or wings	bugs_orange_antennae_or_wings	4	yeah might as well	3.2460000000000004	chatMessage	F	A
mp-game-6	pilot	1338-82a600af-da9d-46a0-b113-0daeaf59f451	1550000000000.0	student	20	bugs with orange antennae or wings	bugs_orange_antennae_or_wings	4	Hahahaa... Here goes nothing 	12.21	chatMessage	M	
