experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType	uttClass
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	3	fish with whiskers	fish_whiskers	0	Hello	1.482	chatMessage	S	
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	3	fish with whiskers	fish_whiskers	0	hey	0.314	chatMessage	S	
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	3	fish with whiskers	fish_whiskers	0	you real?	0.7709999999999999	chatMessage	S	?
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	3	fish with whiskers	fish_whiskers	0	The main distinguishing feature of the morseth is that it has three very long whiskers extending off its cheek	12.925999999999998	chatMessage	I	G
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	3	fish with whiskers	fish_whiskers	0	yes	0.294	chatMessage	F	A
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	3	fish with whiskers	fish_whiskers	0	is it a sexy monster?	3.377	chatMessage	F	?
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	3	fish with whiskers	fish_whiskers	0	so disregard any other features and just look for the three long whiskers	10.333	chatMessage	F	I
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	3	fish with whiskers	fish_whiskers	0	no it's a fish	1.545	chatMessage	F	G
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	3	fish with whiskers	fish_whiskers	0	ah too bad. but ok, sounds good	3.218	chatMessage	F	O
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	3	fish with whiskers	fish_whiskers	0	let's do this	1.073	chatMessage	F	A
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	33	trees with (leaves and berries) or orange trunks	trees_leaves_berries_or_orange_trunks	1	Ok, so I can't see any consistent pattern in the zorbs	232.752	chatMessage	I	O
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	33	trees with (leaves and berries) or orange trunks	trees_leaves_berries_or_orange_trunks	1	most of the plants are zorbs, there were only 4 out of the whole bunch of like 25 that were not	10.185	chatMessage	I	Q
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	33	trees with (leaves and berries) or orange trunks	trees_leaves_berries_or_orange_trunks	1	yo	0.314	chatMessage	S	
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	33	trees with (leaves and berries) or orange trunks	trees_leaves_berries_or_orange_trunks	1	ok, so just pick plants?	3.227	chatMessage	F	?
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	33	trees with (leaves and berries) or orange trunks	trees_leaves_berries_or_orange_trunks	1	if they only have berries but no leaves, I guess it's less likely to be a zorb	8.574	chatMessage	F	C
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	33	trees with (leaves and berries) or orange trunks	trees_leaves_berries_or_orange_trunks	1	yeah just pick most of them as zorbs	4.107	chatMessage	F	I
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	33	trees with (leaves and berries) or orange trunks	trees_leaves_berries_or_orange_trunks	1	sorry but it was totally weird, there was no similarity I could see	6.851	chatMessage	F	O
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	33	trees with (leaves and berries) or orange trunks	trees_leaves_berries_or_orange_trunks	1	other than the fact that like 95% are zorbs	6.564	chatMessage	F	N
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	33	trees with (leaves and berries) or orange trunks	trees_leaves_berries_or_orange_trunks	1	alright let's go for it	3.466	chatMessage	F	A
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	explorer	23	birds with orange crests or purple wings	birds_orange_crests_or_purple_wings	2	Ok this one was really hard too	3.2310000000000003	chatMessage	I	O
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	23	birds with orange crests or purple wings	birds_orange_crests_or_purple_wings	2	hello again	2.7460000000000004	chatMessage	S	
mp-game-6	pilot	4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	1550000000000.0	student	23	birds with orange crests or purple wings	birds_orange_crests_or_purple_wings	2	gimme the scoop	2.4659999999999997	chatMessage	S	
