experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846004299	explorer	12	"bugs with purple legs and white heads"	bugs_purple_legs_white_heads	0	"Oller's have white heads and purple feet."	9.223	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846020390	explorer	12	"bugs with purple legs and white heads"	bugs_purple_legs_white_heads	0	"They must have both to be a oller"	7.186	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846048616	explorer	12	"bugs with purple legs and white heads"	bugs_purple_legs_white_heads	0	"it doesn't matter if it has wings or tentacles, it MUST have a white head and purple feet"	24.416	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846082024	student	12	"bugs with purple legs and white heads"	bugs_purple_legs_white_heads	0	"Okay, thank you. Anything else?"	8.007	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846093753	explorer	12	"bugs with purple legs and white heads"	bugs_purple_legs_white_heads	0	"That's it!"	7.967	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846395417	explorer	32	"Tree with (orange berries and purple trunks) or white leaves"	trees_orange_berries_purple_trunks_or_white_leaves	1	"Zorbs have leaves and berries on them"	11.786	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846408493	explorer	32	"Tree with (orange berries and purple trunks) or white leaves"	trees_orange_berries_purple_trunks_or_white_leaves	1	"but the leaves have to be white, not colored."	12.268	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846422293	explorer	32	"Tree with (orange berries and purple trunks) or white leaves"	trees_orange_berries_purple_trunks_or_white_leaves	1	"if the leaves are colored, it is not a zorb."	11.377	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846443707	explorer	32	"Tree with (orange berries and purple trunks) or white leaves"	trees_orange_berries_purple_trunks_or_white_leaves	1	"make sure they have leaves and little circle berries and the leaves are white"	14.879	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846460185	student	32	"Tree with (orange berries and purple trunks) or white leaves"	trees_orange_berries_purple_trunks_or_white_leaves	1	"What about the berries? Any color?"	30.82	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846479983	explorer	32	"Tree with (orange berries and purple trunks) or white leaves"	trees_orange_berries_purple_trunks_or_white_leaves	1	"the berries and trunks can be whatever color. as long as it has leaves and they are white"	16.789	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846494552	student	32	"Tree with (orange berries and purple trunks) or white leaves"	trees_orange_berries_purple_trunks_or_white_leaves	1	"Okay, thanks!"	9.082	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846974061	explorer	42	"flowers with (purple centers or orange stems) and thorns"	flowers_purple_centers_or_orange_stems_with_thorns	2	"this one is tricky!"	4.363	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547846997364	explorer	42	"flowers with (purple centers or orange stems) and thorns"	flowers_purple_centers_or_orange_stems_with_thorns	2	"they have a few that are Luzaks but don't fit the mold so we probably won't get them all"	22.017	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547847029751	explorer	42	"flowers with (purple centers or orange stems) and thorns"	flowers_purple_centers_or_orange_stems_with_thorns	2	"they have to have thorns, and swirlies"	26.772	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547847057420	explorer	42	"flowers with (purple centers or orange stems) and thorns"	flowers_purple_centers_or_orange_stems_with_thorns	2	"the flower petals need to be colored two different colors and the polka dots need to be white"	25.425	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547847107561	explorer	42	"flowers with (purple centers or orange stems) and thorns"	flowers_purple_centers_or_orange_stems_with_thorns	2	"so they must have thorns, swirlies (you'll see) and polka dots. but the polka dots have to be white and the petals and to be 2 different colors"	36.881	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547847153749	student	42	"flowers with (purple centers or orange stems) and thorns"	flowers_purple_centers_or_orange_stems_with_thorns	2	"Wow, that is tricky! Appreciate it!"	24.109	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547847170311	explorer	42	"flowers with (purple centers or orange stems) and thorns"	flowers_purple_centers_or_orange_stems_with_thorns	2	"good luck!! I hope i described them right"	10.853	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547847448659	explorer	2	"fish with white fangs"	fish_fangs	3	"sorry, the last round was tough!"	6.512	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547847467241	student	2	"fish with white fangs"	fish_fangs	3	"That's okay! Some is better than none."	14.422	chatMessage
mp-game-6	pilot	8308-baa7f050-9990-456d-a630-d3b0f9077966	1547847476548	explorer	2	"fish with white fangs"	fish_fangs	3	"this time it seems that all morseths have a long tooth. "	27.231	chatMessage
