iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	type	hits	misses	correct_rejections	false_alarms	score	exploration_time	submission_time	total_time	eventType
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667053709	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	testing	9	13	6	0	9	51.433	5.152	56.585	logScores
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667139748	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	testing	19	3	6	0	19	138.136	2.164	140.3	logScores
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667371733	student	11	CONJUNCTION,DISJUNCTION	./js/training_data_(critter_bird_and_body_color_orange)_or_small_1.json	./js/test_data_(critter_bird_and_body_color_orange)_or_small_1.json	testing	3	10	14	4	-1	56.355	1.567	57.922	logScores
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667383851	explorer	11	CONJUNCTION,DISJUNCTION	./js/training_data_(critter_bird_and_body_color_orange)_or_small_1.json	./js/test_data_(critter_bird_and_body_color_orange)_or_small_1.json	testing	3	10	17	1	2	67.992	1.101	69.093	logScores
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667500656	explorer	12	CONJUNCTION,DISJUNCTION	./js/training_data_(critter_fish_and_large)_or_body_color_blue_1.json	./js/test_data_(critter_fish_and_large)_or_body_color_blue_1.json	testing	13	0	16	2	11	16.869	1.438	18.307	logScores
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667515584	student	12	CONJUNCTION,DISJUNCTION	./js/training_data_(critter_fish_and_large)_or_body_color_blue_1.json	./js/test_data_(critter_fish_and_large)_or_body_color_blue_1.json	testing	11	2	18	0	11	31.837	3.153	34.99	logScores
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667641018	student	13	DISJUNCTION,CONJUNCTION	./js/training_data_(critter_bug_or_small)_and_second_color_red_1.json	./js/test_data_(critter_bug_or_small)_and_second_color_red_1.json	testing	1	5	22	0	1	18.784	1.683	20.467	logScores
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667641367	explorer	13	DISJUNCTION,CONJUNCTION	./js/training_data_(critter_bug_or_small)_and_second_color_red_1.json	./js/test_data_(critter_bug_or_small)_and_second_color_red_1.json	testing	1	5	22	0	1	19.457	2.74	22.197	logScores
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667761492	explorer	14	DISJUNCTION,CONJUNCTION	./js/training_data_(large_or_body_color_green)_and_second_color_red_1.json	./js/test_data_(large_or_body_color_green)_and_second_color_red_1.json	testing	2	4	22	2	0	15.668	0.919	16.587	logScores
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667772516	student	14	DISJUNCTION,CONJUNCTION	./js/training_data_(large_or_body_color_green)_and_second_color_red_1.json	./js/test_data_(large_or_body_color_green)_and_second_color_red_1.json	testing	2	4	24	0	2	32.72	4.265	36.985	logScores
