experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548440655783	explorer	11	"fish with white stripes and whiskers"	fish_white_stripes_whiskers	0	"they have to have three whiskers AND white stripes"	12.525	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548440670220	student	11	"fish with white stripes and whiskers"	fish_white_stripes_whiskers	0	"Are they of a specific size?"	3.275	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548440673791	explorer	11	"fish with white stripes and whiskers"	fish_white_stripes_whiskers	0	"no"	1.185	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548440685276	student	11	"fish with white stripes and whiskers"	fish_white_stripes_whiskers	0	"Ok"	2.65	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548440838055	explorer	1	"flowers with thorns"	flowers_thorns	1	"if it has thorns"	4.71	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548440845626	student	1	"flowers with thorns"	flowers_thorns	1	"Is it a specific color?"	4.316	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548441094934	explorer	41	"trees with (orange trunks or berries) and white leaves"	trees_orange_trunks_or_berries_white_leaves	2	"just the trunk is colored in, or the trunk and berries are colored in and the leaves are empty"	24.157	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548441373398	explorer	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	3	"orange wing, colored in"	10.36	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548441404534	explorer	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	3	"im not sure what else, very confusing"	8.358	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548441426151	explorer	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	3	"ok?"	0.866	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548441434687	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	3	"ok"	0.324	chatMessage
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548441630084	explorer	21	"bugs with purple wings or white legs"	bugs_purple_wings_or_white_legs	4	"mostly colored in, not many white spaces"	6.575	chatMessage
