experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType	uttClass
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	student	21	bugs with purple wings or white legs	bugs_purple_wings_or_white_legs	0	hello	0.882	chatMessage	S	
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	student	21	bugs with purple wings or white legs	bugs_purple_wings_or_white_legs	0	can you explain to me what you have learned?	5.041	chatMessage	F	?
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	explorer	21	bugs with purple wings or white legs	bugs_purple_wings_or_white_legs	0	can you guess	6.865	chatMessage	I	I
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	student	21	bugs with purple wings or white legs	bugs_purple_wings_or_white_legs	0	can i guess what?	2.055	chatMessage	F	?
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	explorer	21	bugs with purple wings or white legs	bugs_purple_wings_or_white_legs	0	lets continue	6.047000000000001	chatMessage	F	A
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	student	21	bugs with purple wings or white legs	bugs_purple_wings_or_white_legs	0	ok	0.282	chatMessage	F	A
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	student	31	birds with (purple crests and purple tails) or orange wings	birds_purple_crests_purple_tails_or_orange_wings	2	tell about species	6.925	chatMessage	F	I
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	explorer	31	birds with (purple crests and purple tails) or orange wings	birds_purple_crests_purple_tails_or_orange_wings	2	i think they are bigger then the other ones	4.398	chatMessage	I	G
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	explorer	31	birds with (purple crests and purple tails) or orange wings	birds_purple_crests_purple_tails_or_orange_wings	2	orange color wings	13.931	chatMessage	I	G
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	student	31	birds with (purple crests and purple tails) or orange wings	birds_purple_crests_purple_tails_or_orange_wings	2	yes	0.303	chatMessage	F	A
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	3	what would you think the next characterists would be?	6.314	chatMessage	F	?
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	3	white on the body	22.748	chatMessage	I	G
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	3	ok bye	4.117	chatMessage	F	A
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	explorer	41	trees with (orange trunks or berries) and white leaves	trees_orange_trunks_or_berries_white_leaves	4	any idea	5.24	chatMessage	I	?
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	student	41	trees with (orange trunks or berries) and white leaves	trees_orange_trunks_or_berries_white_leaves	4	im not too sure. what baout you?	3.6519999999999997	chatMessage	F	?
mp-game-6	pilot	5980-40159167-6479-420e-bd58-175614766511	1550000000000.0	explorer	41	trees with (orange trunks or berries) and white leaves	trees_orange_trunks_or_berries_white_leaves	4	no color for leaves	10.697000000000001	chatMessage	I	G
