stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
1	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
2	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
3	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
4	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
5	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
6	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
7	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
8	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
9	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
10	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
11	false	false	true	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
12	false	false	true	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
13	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
14	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
15	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
16	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
17	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
18	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
19	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
20	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
21	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
22	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
23	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
24	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
25	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
26	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
27	false	true	false	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
28	true	true	true	logTest	mp-game-6	pilot	2732-415d4bbe-f48b-44ec-a14f-30d36472233d	1548691457596	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0
