experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547842613184	explorer	7	"birds with purple tails"	birds_purple_tails	0	"hai"	0.943	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547842617721	explorer	7	"birds with purple tails"	birds_purple_tails	0	"hi"	1.098	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547842650937	explorer	7	"birds with purple tails"	birds_purple_tails	0	"what to do in this study"	14.454	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547842705697	explorer	7	"birds with purple tails"	birds_purple_tails	0	"gdfg"	0.952	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547842707293	explorer	7	"birds with purple tails"	birds_purple_tails	0	"gfgf"	0.827	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547842709880	explorer	7	"birds with purple tails"	birds_purple_tails	0	"kliul"	1.455	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547842733014	student	7	"birds with purple tails"	birds_purple_tails	0	"what is the species colour"	21.764	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547842741419	explorer	7	"birds with purple tails"	birds_purple_tails	0	"that is blue"	4.456	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547842749906	student	7	"birds with purple tails"	birds_purple_tails	0	"thank you"	4.368	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547843096798	explorer	37	"fish with (white bodies and orange stripes) or fangs"	fish_white_bodies_orange_stripes_or_fangs	1	"what is the color of that fish"	19.839	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547843142980	student	37	"fish with (white bodies and orange stripes) or fangs"	fish_white_bodies_orange_stripes_or_fangs	1	"i did't seen yet "	24.485	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547843168752	explorer	37	"fish with (white bodies and orange stripes) or fangs"	fish_white_bodies_orange_stripes_or_fangs	1	"ok that fine"	15.091	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547843191823	explorer	37	"fish with (white bodies and orange stripes) or fangs"	fish_white_bodies_orange_stripes_or_fangs	1	"how judge the fish is zorb or not"	19.829	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547843244664	student	37	"fish with (white bodies and orange stripes) or fangs"	fish_white_bodies_orange_stripes_or_fangs	1	"judge that by colour and tell that me please"	21.949	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547843606314	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	2	"what is the color of the species"	15.84	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547844255865	explorer	27	"flowers with orange stems or thorns"	flowers_orange_stems_or_thorns	3	"what is the color of the flower"	13.168	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547844269715	explorer	27	"flowers with orange stems or thorns"	flowers_orange_stems_or_thorns	3	"any one else"	3.976	chatMessage
mp-game-6	pilot	7597-35eaa47b-81cd-4b8b-b207-3d7a69d4f8a0	1547844281499	student	27	"flowers with orange stems or thorns"	flowers_orange_stems_or_thorns	3	"you explorer"	7.52	chatMessage
